time	V(n002)	I(L1)
0.000000000000000e+00	4.997501e+00	2.499166e-03
2.947661607142858e-02	4.852649e+00	1.473511e-01
5.895323214285716e-02	4.711718e+00	2.882819e-01
8.842984821428575e-02	4.574708e+00	4.252917e-01
1.179064642857143e-01	4.441620e+00	5.583804e-01
1.473830803571429e-01	4.312452e+00	6.875481e-01
1.768596964285715e-01	4.187205e+00	8.127947e-01
2.063363125000000e-01	4.065880e+00	9.341202e-01
2.774858660714286e-01	3.789683e+00	1.210317e+00
3.486354196428572e-01	3.529635e+00	1.470365e+00
4.197849732142858e-01	3.285736e+00	1.714264e+00
4.909345267857144e-01	3.057986e+00	1.942014e+00
5.620840803571430e-01	2.846385e+00	2.153615e+00
6.332336339285716e-01	2.650933e+00	2.349067e+00
7.043831875000001e-01	2.471630e+00	2.528370e+00
7.957615357142858e-01	2.259614e+00	2.740386e+00
8.871398839285716e-01	2.062727e+00	2.937273e+00
9.785182321428574e-01	1.880972e+00	3.119028e+00
1.069896580357143e+00	1.714347e+00	3.285653e+00
1.161274928571429e+00	1.562853e+00	3.437147e+00
1.252653276785715e+00	1.426489e+00	3.573510e+00
1.344031625000000e+00	1.305257e+00	3.694743e+00
1.435409973214286e+00	1.193494e+00	3.806506e+00
1.526788321428572e+00	1.089708e+00	3.910292e+00
1.618166669642857e+00	9.938972e-01	4.006103e+00
1.709545017857143e+00	9.060627e-01	4.093938e+00
1.800923366071429e+00	8.262041e-01	4.173796e+00
1.892301714285715e+00	7.543215e-01	4.245679e+00
1.983680062500000e+00	6.904148e-01	4.309585e+00
2.075755955357143e+00	6.310847e-01	4.368915e+00
2.167831848214286e+00	5.760137e-01	4.423986e+00
2.259907741071429e+00	5.252019e-01	4.474798e+00
2.351983633928572e+00	4.786491e-01	4.521351e+00
2.444059526785714e+00	4.363554e-01	4.563644e+00
2.536135419642857e+00	3.983209e-01	4.601679e+00
2.628211312500000e+00	3.645454e-01	4.635455e+00
2.720287205357143e+00	3.334227e-01	4.666577e+00
2.812363098214286e+00	3.045341e-01	4.695466e+00
2.904438991071429e+00	2.778798e-01	4.722120e+00
2.996514883928572e+00	2.534596e-01	4.746540e+00
3.088590776785714e+00	2.312736e-01	4.768726e+00
3.180666669642857e+00	2.113218e-01	4.788678e+00
3.272742562500000e+00	1.936043e-01	4.806396e+00
3.366213544642857e+00	1.770499e-01	4.822950e+00
3.459684526785714e+00	1.616979e-01	4.838302e+00
3.553155508928572e+00	1.475480e-01	4.852452e+00
3.646626491071429e+00	1.346005e-01	4.865400e+00
3.740097473214286e+00	1.228551e-01	4.877145e+00
3.833568455357143e+00	1.123121e-01	4.887688e+00
3.927039437500000e+00	1.029712e-01	4.897029e+00
4.022603053571428e+00	9.419456e-02	4.905805e+00
4.118166669642857e+00	8.606622e-02	4.913934e+00
4.213730285714286e+00	7.858621e-02	4.921414e+00
4.309293901785714e+00	7.175454e-02	4.928245e+00
4.404857517857143e+00	6.557121e-02	4.934429e+00
4.500421133928571e+00	6.003622e-02	4.939964e+00
4.595984750000000e+00	5.514956e-02	4.944850e+00
4.645510419642856e+00	5.273692e-02	4.947263e+00
4.695036089285714e+00	5.042821e-02	4.949572e+00
4.744561758928571e+00	4.822342e-02	4.951776e+00
4.794087428571428e+00	4.612256e-02	4.953877e+00
4.843613098214285e+00	4.412563e-02	4.955874e+00
4.893138767857143e+00	4.223263e-02	4.957767e+00
4.942664437500000e+00	4.044355e-02	4.959557e+00
4.947547250000000e+00	4.027071e-02	4.959729e+00
4.996375375000000e+00	3.858791e-02	4.961412e+00
4.999000000000000e+00	3.849966e-02	4.961500e+00
